SIGLA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Cluster
PA,2428.869090909091,2478.0681003584227,2500.5437062937062,2320.048665620094,2103.864827586207,2062.399737876802,1953.5812274368232,1752.123430962343,1802.3003128258604,2581.1056439942117,2303.0863579474344,2357.311801242236,3023.1715610510046,3253.5912762520197,1
PB,2120.6939313984167,2046.256218905473,1615.3128598848368,1368.5230524642288,985.6170212765958,945.279411764706,912.1466798810704,803.5255972696245,785.1547231270358,877.1989342806394,923.3321167883212,1010.930731707317,1159.6225382932166,1129.51878914405,0
PE,1974.640250260688,2133.6853685368537,2018.3506097560976,1789.5809859154929,1455.4268719384186,1522.720114531138,1352.144810441268,1378.5650557620818,1462.3271208226222,1278.418131868132,1482.8092269326685,1806.314498141264,1650.676431424767,1720.5851498637603,2
PI,3164.819512195122,2785.995798319328,2206.6938110749184,2211.1214057507987,2019.5085714285717,1994.049723756906,1881.2295918367347,1557.6528925619834,1651.9014989293362,1980.0977443609024,2124.443569553806,1661.4228456913827,1728.30549898167,1940.413870246085,2
PR,1239.9938765897316,1189.7885209713024,1022.1952487008166,821.6155646576946,708.7438631291842,619.1681227359898,612.5865504358655,530.0649097983728,550.1137020968908,657.3207145895364,676.9202070304076,635.659086375424,660.2414215686274,602.7860824742268,0
RJ,1695.41241162608,1769.6658585858586,1623.6060716898317,1444.4445515911282,1249.7601760176017,1164.92567224759,1046.4755244755245,968.7922265867272,1001.1935279187816,1174.7597641857035,1374.2807167235494,1468.2608303249096,1425.1226496962684,1383.5753691836169,0
RN,1589.0210772833725,1338.6257197696737,1115.9018691588783,1119.3470319634705,974.3359173126616,968.342105263158,912.7554786620532,781.2757955641273,862.1881496881497,928.9934354485777,1016.1637426900584,1162.3010471204188,1253.6666666666667,1161.7056603773583,0
RO,1680.2239583333333,1867.346368715084,1428.756198347107,1217.7883959044368,1026.296089385475,1114.9174041297936,1055.5679347826087,1149.706051873199,1066.3151041666667,1292.190769230769,1630.0378787878788,1606.9014598540143,1654.1176470588234,1550.8006756756756,0
RR,1099.927536231884,1100.5277777777778,960.1511627906976,1061.8271604938273,1149.2435897435898,1297.888888888889,1282.4605263157894,1156.0568181818182,1073.6060606060605,1355.219512195122,1533.907894736842,1767.1,1612.9024390243903,2581.685185185185,0
RS,1148.5718737826255,1055.3831444759207,941.2666666666668,859.897814362759,701.0271514035895,602.5615278598149,589.663915547025,536.1088317107093,532.0156357388316,566.1858390971969,669.6898029134533,617.7231616201337,600.260886100019,620.528386844166,0
SC,846.9355697550586,824.6929292929293,760.0649409627612,580.1141212326447,531.018192844148,441.1240138067061,426.67826289983657,392.8175888912266,430.3806087936866,455.7134189031505,474.8733665953909,497.9749391727494,471.51676040494937,450.84086609207486,0
SE,1740.240663900415,1706.767716535433,1998.111607142857,1741.2150943396227,1269.9197860962568,1611.5346534653463,1303.2,1221.4739336492892,1134.0749464668097,1204.0,1557.3147632311975,1522.1962864721486,2008.0546075085324,1725.0687679083094,2
SP,1267.5512124502352,1192.2919813416258,1049.0581250598486,945.1057309743504,821.4835887796414,767.5409857845091,718.6300715990453,713.1922065503227,750.2123724095268,818.6865909543734,868.9255946189585,815.06970492223,845.9691261119832,830.7798391692522,0
TO,1805.1768707482995,1792.1830065359477,1736.846625766871,1438.1182266009853,1217.720647773279,1347.1434782608696,1237.1589147286822,1005.7217125382264,993.8475073313784,1216.8989547038327,1373.3358778625957,1332.3453237410072,1655.9565217391305,1376.781690140845,0
