SIGLA,Year,Population,State,Number of Companies,Population-to-Companies Ratio
MA,2015,1409105,Maranhão,653,2157.894333843798
MG,2015,5556389,Minas Gerais,7655,725.850947093403
MS,2015,675010,Mato Grosso do Sul,778,867.6221079691517
MT,2015,841598,Mato Grosso,1180,713.2186440677966
PA,2015,1728406,Pará,959,1802.3003128258604
PB,2015,964170,Paraíba,1228,785.1547231270358
PE,2015,2275381,Pernambuco,1556,1462.3271208226222
PI,2015,771438,Piauí,467,1651.9014989293362
PR,2015,3043229,Paraná,5532,550.1137020968908
RJ,2015,4733643,Rio de Janeiro,4728,1001.1935279187817
RN,2015,829425,Rio Grande do Norte,962,862.1881496881497
RO,2015,409465,Rondônia,384,1066.3151041666667
RR,2015,106287,Roraima,99,1073.6060606060605
RS,2015,3096331,Rio Grande do Sul,5820,532.0156357388316
SC,2015,1908738,Santa Catarina,4435,430.3806087936866
SE,2015,529613,Sergipe,467,1134.0749464668095
SP,2015,12127183,São Paulo,16165,750.2123724095268
TO,2015,338902,Tocantins,341,993.8475073313783
AC,2016,167913,Acre,125,1343.304
AL,2016,758748,Alagoas,432,1756.361111111111
AM,2016,806809,Amazonas,464,1738.8125
AP,2016,152771,Amapá,143,1068.3286713286714
BA,2016,3671370,Bahia,2313,1587.2762645914397
CE,2016,2161338,Ceará,1656,1305.1557971014493
DF,2016,752645,Distrito Federal,1017,740.0639134709932
ES,2016,1042163,Espírito Santo,1147,908.5989537925021
GO,2016,1800772,Goiás,1779,1012.238336143901
MA,2016,1447930,Maranhão,614,2358.1921824104234
MG,2016,5639810,Minas Gerais,7058,799.0663077359026
MS,2016,689199,Mato Grosso do Sul,716,962.56843575419
MT,2016,866787,Mato Grosso,1122,772.5374331550802
PA,2016,1783544,Pará,691,2581.1056439942113
PB,2016,987726,Paraíba,1126,877.1989342806394
PE,2016,2326721,Pernambuco,1820,1278.418131868132
PI,2016,790059,Piauí,399,1980.0977443609022
PR,2016,3090722,Paraná,4702,657.3207145895364
RJ,2016,4782447,Rio de Janeiro,4071,1174.7597641857037
RN,2016,849100,Rio Grande do Norte,914,928.9934354485777
RO,2016,419962,Rondônia,325,1292.1907692307693
RR,2016,111128,Roraima,82,1355.219512195122
RS,2016,3110625,Rio Grande do Sul,5494,566.1858390971969
SC,2016,1952732,Santa Catarina,4285,455.7134189031505
SE,2016,544208,Sergipe,452,1204.0
SP,2016,12326964,São Paulo,15057,818.6865909543734
TO,2016,349250,Tocantins,287,1216.8989547038327
AC,2017,173963,Acre,110,1581.4818181818182
AL,2017,776242,Alagoas,409,1897.9022004889976
AM,2017,836647,Amazonas,415,2016.0168674698796
AP,2017,158449,Amapá,119,1331.5042016806722
BA,2017,3765277,Bahia,2150,1751.2916279069768
CE,2017,2213275,Ceará,1569,1410.627788400255
DF,2017,777044,Distrito Federal,825,941.8715151515152
ES,2017,1062618,Espírito Santo,1081,982.995374653099
GO,2017,1849583,Goiás,1828,1011.8068927789934
MA,2017,1489259,Maranhão,600,2482.0983333333334
MG,2017,5725214,Minas Gerais,6549,874.2119407543137
MS,2017,703748,Mato Grosso do Sul,647,1087.70942812983
MT,2017,892846,Mato Grosso,965,925.2290155440414
PA,2017,1840166,Pará,799,2303.0863579474344
PB,2017,1011972,Paraíba,1096,923.3321167883212
PE,2017,2378426,Pernambuco,1604,1482.8092269326683
PI,2017,809413,Piauí,381,2124.443569553806
PR,2017,3138879,Paraná,4637,676.9202070304076
RJ,2017,4831971,Rio de Janeiro,3516,1374.2807167235494
RN,2017,868820,Rio Grande do Norte,855,1016.1637426900585
RO,2017,430330,Rondônia,264,1630.0378787878788
RR,2017,116577,Roraima,76,1533.907894736842
RS,2017,3126112,Rio Grande do Sul,4668,669.6898029134533
SC,2017,1998742,Santa Catarina,4209,474.87336659539085
SE,2017,559076,Sergipe,359,1557.3147632311977
SP,2017,12530776,São Paulo,14421,868.9255946189585
TO,2017,359814,Tocantins,262,1373.3358778625955
AC,2018,179925,Acre,122,1474.795081967213
AL,2018,793645,Alagoas,422,1880.675355450237
AM,2018,867398,Amazonas,436,1989.4449541284403
AP,2018,164014,Amapá,106,1547.301886792453
