SIGLA,Year,Population,Number of Companies,Population-to-Companies Ratio
RR,2016,111128.0,82.0,1355.219512195122
RS,2016,3110625.0,5494.0,566.1858390971969
SC,2016,1952732.0,4285.0,455.7134189031505
SE,2016,544208.0,452.0,1204.0
SP,2016,12326964.0,15057.0,818.6865909543734
TO,2016,349250.0,287.0,1216.8989547038327
AC,2017,173963.0,110.0,1581.4818181818182
AL,2017,776242.0,409.0,1897.9022004889976
AM,2017,836647.0,415.0,2016.0168674698796
AP,2017,158449.0,119.0,1331.5042016806722
BA,2017,3765277.0,2150.0,1751.2916279069768
CE,2017,2213275.0,1569.0,1410.627788400255
DF,2017,777044.0,825.0,941.8715151515152
ES,2017,1062618.0,1081.0,982.995374653099
GO,2017,1849583.0,1828.0,1011.8068927789934
MA,2017,1489259.0,600.0,2482.0983333333334
MG,2017,5725214.0,6549.0,874.2119407543137
MS,2017,703748.0,647.0,1087.70942812983
MT,2017,892846.0,965.0,925.2290155440414
PA,2017,1840166.0,799.0,2303.0863579474344
PB,2017,1011972.0,1096.0,923.3321167883212
PE,2017,2378426.0,1604.0,1482.8092269326683
PI,2017,809413.0,381.0,2124.443569553806
PR,2017,3138879.0,4637.0,676.9202070304076
RJ,2017,4831971.0,3516.0,1374.2807167235494
RN,2017,868820.0,855.0,1016.1637426900585
RO,2017,430330.0,264.0,1630.0378787878788
RR,2017,116577.0,76.0,1533.907894736842
RS,2017,3126112.0,4668.0,669.6898029134533
SC,2017,1998742.0,4209.0,474.87336659539085
SE,2017,559076.0,359.0,1557.3147632311977
SP,2017,12530776.0,14421.0,868.9255946189585
TO,2017,359814.0,262.0,1373.3358778625955
AC,2018,179925.0,122.0,1474.795081967213
AL,2018,793645.0,422.0,1880.675355450237
AM,2018,867398.0,436.0,1989.4449541284403
AP,2018,164014.0,106.0,1547.301886792453
BA,2018,3861000.0,2251.0,1715.237672145713
CE,2018,2264988.0,1443.0,1569.6382536382537
DF,2018,801332.0,879.0,911.6405005688282
ES,2018,1083251.0,976.0,1109.888319672131
GO,2018,1898086.0,1804.0,1052.1541019955655
MA,2018,1532250.0,569.0,2692.8822495606328
MG,2018,5811016.0,6324.0,918.8829854522454
MS,2018,718386.0,675.0,1064.2755555555555
MT,2018,919580.0,1024.0,898.02734375
PA,2018,1897636.0,805.0,2357.311801242236
